Player,Year,Surface,Matches,Wins,Win_pct
Bautista Agut R.,2023,Clay,11,4,36.36363636363637
Bautista Agut R.,2023,Grass,5,3,60.0
Bautista Agut R.,2023,Hard,22,10,45.45454545454545
Bautista Agut R.,2024,Clay,10,5,50.0
Bautista Agut R.,2024,Grass,9,6,66.66666666666666
Bautista Agut R.,2024,Hard,25,12,48.0
Bautista Agut R.,2025,Clay,14,6,42.857142857142854
Bautista Agut R.,2025,Grass,9,5,55.55555555555556
Bautista Agut R.,2025,Hard,13,3,23.076923076923077
Bautista Agut R.,2026,Hard,7,2,28.57142857142857
Bautista R.,2010,Hard,1,0,0.0
Bautista R.,2012,Clay,2,0,0.0
Bautista R.,2012,Hard,11,3,27.27272727272727
Bautista R.,2013,Clay,13,7,53.84615384615385
Bautista R.,2013,Grass,5,3,60.0
Bautista R.,2013,Hard,27,15,55.55555555555556
Bautista R.,2014,Clay,17,12,70.58823529411765
Bautista R.,2014,Grass,8,7,87.5
Bautista R.,2014,Hard,37,25,67.56756756756756
Bautista R.,2015,Clay,22,13,59.09090909090909
Bautista R.,2015,Grass,6,3,50.0
Bautista R.,2015,Hard,40,24,60.0
Bautista R.,2016,Hard,22,16,72.72727272727273
Bautista R. ,2009,Hard,1,0,0.0
Beck A.,2004,Clay,2,1,50.0
Beck A.,2005,Clay,2,1,50.0
Beck A.,2006,Clay,2,0,0.0
Beck A.,2008,Carpet,2,1,50.0
Beck A.,2008,Clay,4,1,25.0
Beck A.,2008,Grass,4,2,50.0
Beck A.,2008,Hard,2,1,50.0
Beck A.,2009,Clay,18,11,61.111111111111114
Beck A.,2009,Grass,4,2,50.0
Beck A.,2009,Hard,18,8,44.44444444444444
Beck A.,2010,Clay,11,3,27.27272727272727
Beck A.,2010,Grass,5,3,60.0
Beck A.,2010,Hard,5,1,20.0
Beck A.,2011,Clay,3,0,0.0
Beck A.,2011,Grass,1,0,0.0
Beck A.,2012,Hard,6,2,33.33333333333333
Beck A.,2013,Clay,2,0,0.0
Beck A.,2014,Clay,2,0,0.0
Beck A.,2014,Hard,1,0,0.0
Beck A.,2015,Hard,1,0,0.0
Beck A.,2016,Clay,1,0,0.0
Beck A. ,2009,Hard,1,0,0.0
Beck K.,2002,Grass,2,1,50.0
Beck K.,2002,Hard,4,1,25.0
Beck K.,2003,Carpet,2,1,50.0
Beck K.,2003,Clay,8,1,12.5
Beck K.,2003,Grass,3,0,0.0
Beck K.,2003,Hard,16,5,31.25
Beck K.,2004,Carpet,9,6,66.66666666666666
Beck K.,2004,Clay,3,0,0.0
Beck K.,2004,Grass,8,5,62.5
Beck K.,2004,Hard,20,9,45.0
Beck K.,2005,Carpet,3,2,66.66666666666666
Beck K.,2005,Clay,4,0,0.0
Beck K.,2005,Grass,6,3,50.0
Beck K.,2005,Hard,29,12,41.37931034482759
Beck K.,2007,Clay,1,0,0.0
Beck K.,2009,Clay,1,0,0.0
Beck K.,2009,Grass,2,1,50.0
Beck K.,2009,Hard,7,3,42.857142857142854
Beck K.,2010,Clay,2,0,0.0
Beck K.,2010,Grass,5,1,20.0
Beck K.,2010,Hard,5,0,0.0
Beck K.,2011,Grass,4,2,50.0
Beck K.,2011,Hard,8,2,25.0
